year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,leading_cities,net_migration_pct
2021,South Dakota,SD,11.0,52.5,47.5,None,5.0
2021,Tennessee,TN,3.0,50.4,49.6,None,0.7999999999999972
2021,Texas,TX,1.0,50.2,49.8,"#7 College Station-Bryan, #15 Grapevine, #16 Austin, #22 Richardson, #25 Carrollton",0.4000000000000057
2021,Utah,UT,28.0,49.9,50.1,None,-0.20000000000000284
2021,Vermont,VT,12.0,52.6,47.4,None,5.200000000000003
2021,Virginia,VA,31.0,49.9,50.1,None,-0.20000000000000284
2021,Washington,WA,15.0,50.2,49.8,None,0.4000000000000057
2021,West Virginia,WV,26.0,49.8,50.2,None,-0.4000000000000057
2021,Wisconsin,WI,13.0,50.3,49.7,"#5 Madison, #14 Milwaukee",0.5999999999999943
2021,Wyoming,WY,21.0,50.1,49.9,None,0.20000000000000284
2022,Alabama,AL,20.0,50.3,49.7,"#5 Auburn-Opelika, #9 Huntsville",0.5999999999999943
2022,Alaska,AK,41.0,48.6,51.4,None,-2.799999999999997
2022,Arizona,AZ,7.0,50.3,49.7,#8 Surprise,0.5999999999999943
2022,Arkansas,AR,43.0,49.5,50.5,None,-1.0
2022,California,CA,50.0,49.6,50.4,#2 Sacramento-Roseville,-0.7999999999999972
2022,Colorado,CO,11.0,50.3,49.7,#16 Fort Collins,0.5999999999999943
2022,Connecticut,CT,28.0,50.1,49.9,None,0.20000000000000284
2022,Delaware,DE,27.0,50.1,49.9,None,0.20000000000000284
2022,Florida,FL,2.0,50.7,49.3,"#1 Ocala, #4 Palm Bay-Melbourne, #6 North Port, #21 Lakeland",1.4000000000000057
2022,Georgia,GA,8.0,50.2,49.8,"#12 Athens, #25 Sandy Springs",0.4000000000000057
2022,Hawaii,HI,,,,Recent Migration Trends,
2022,Idaho,ID,10.0,50.4,49.6,None,0.7999999999999972
2022,Illinois,IL,49.0,49.3,50.7,None,-1.4000000000000057
