year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,net_migration_pct
2016,Tennessee,TN,12.0,50.3,49.7,0.5999999999999943
2017,Tennessee,TN,5.0,50.3,49.7,0.5999999999999943
2018,Tennessee,TN,8.0,50.1,49.9,0.2000000000000028
2019,Tennessee,TN,12.0,50.1,49.9,0.2000000000000028
2020,Tennessee,TN,1.0,50.6,49.4,1.2000000000000028
2021,Tennessee,TN,3.0,50.4,49.6,0.7999999999999972
2022,Tennessee,TN,6.0,50.3,49.7,0.5999999999999943
2023,Tennessee,TN,5.0,50.5,49.5,1.0
2015,Texas,TX,39.0,49.9,50.1,-0.2000000000000028
2016,Texas,TX,1.0,50.8,49.2,1.5999999999999943
2017,Texas,TX,1.0,50.3,49.7,0.5999999999999943
2018,Texas,TX,1.0,50.2,49.8,0.4000000000000057
2019,Texas,TX,2.0,50.4,49.6,0.7999999999999972
2020,Texas,TX,2.0,50.2,49.8,0.4000000000000057
2021,Texas,TX,1.0,50.2,49.8,0.4000000000000057
2022,Texas,TX,1.0,50.3,49.7,0.5999999999999943
2023,Texas,TX,1.0,50.4,49.6,0.7999999999999972
2015,Utah,UT,10.0,51.4,48.6,2.799999999999997
2016,Utah,UT,38.0,49.7,50.3,-0.5999999999999943
2017,Utah,UT,21.0,50.2,49.8,0.4000000000000057
2018,Utah,UT,4.0,50.8,49.2,1.5999999999999943
2019,Utah,UT,4.0,50.8,49.2,1.5999999999999943
2020,Utah,UT,117.0,50.4,49.6,0.7999999999999972
2021,Utah,UT,28.0,49.9,50.1,-0.2000000000000028
2022,Utah,UT,12.0,50.3,49.7,0.5999999999999943
2023,Utah,UT,13.0,50.2,49.8,0.4000000000000057
2015,Virginia,VA,2.0,50.9,49.1,1.7999999999999972
2016,Virginia,VA,30.0,50.0,50.0,0.0
2017,Virginia,VA,13.0,50.1,49.9,0.2000000000000028
2018,Virginia,VA,28.0,50.1,49.9,0.2000000000000028
2019,Virginia,VA,39.0,49.9,50.1,-0.2000000000000028
2020,Virginia,VA,28.0,50.1,49.9,0.2000000000000028
2021,Virginia,VA,31.0,49.9,50.1,-0.2000000000000028
2022,Virginia,VA,5.0,50.5,49.5,1.0
2023,Virginia,VA,10.0,50.1,49.9,0.2000000000000028
2015,Vermont,VT,16.0,52.8,47.2,5.599999999999994
2016,Vermont,VT,9.0,53.0,47.0,6.0
2017,Vermont,VT,10.0,52.2,47.8,4.400000000000006
2018,Vermont,VT,7.0,52.0,48.0,4.0
2019,Vermont,VT,10.0,51.7,48.3,3.4000000000000057
2020,Vermont,VT,26.0,51.7,48.3,3.4000000000000057
2021,Vermont,VT,12.0,52.6,47.4,5.200000000000003
2022,Vermont,VT,30.0,50.1,49.9,0.2000000000000028
2023,Vermont,VT,12.0,52.6,47.4,5.200000000000003
2015,Washington,WA,6.0,50.9,49.1,1.7999999999999972
2016,Washington,WA,16.0,50.1,49.9,0.2000000000000028
2017,Washington,WA,6.0,50.3,49.7,0.5999999999999943
2018,Washington,WA,29.0,50.0,50.0,0.0
2019,Washington,WA,6.0,50.3,49.7,0.5999999999999943
2020,Washington,WA,36.0,49.9,50.1,-0.2000000000000028
2021,Washington,WA,15.0,50.2,49.8,0.4000000000000057
2022,Washington,WA,23.0,50.1,49.9,0.2000000000000028
2023,Washington,WA,7.0,50.3,49.7,0.5999999999999943
2015,Wisconsin,WI,13.0,50.9,49.1,1.7999999999999972
2016,Wisconsin,WI,4.0,50.6,49.4,1.2000000000000028
2017,Wisconsin,WI,20.0,50.1,49.9,0.2000000000000028
2018,Wisconsin,WI,13.0,50.1,49.9,0.2000000000000028
2019,Wisconsin,WI,41.0,49.7,50.3,-0.5999999999999943
2020,Wisconsin,WI,13.0,50.6,49.4,1.2000000000000028
2021,Wisconsin,WI,13.0,50.3,49.7,0.5999999999999943
2022,Wisconsin,WI,16.0,50.3,49.7,0.5999999999999943
2023,Wisconsin,WI,26.0,50.0,50.0,0.0
2015,West Virginia,WV,19.0,51.2,48.8,2.4000000000000057
2016,West Virginia,WV,25.0,50.1,49.9,0.2000000000000028
2017,West Virginia,WV,15.0,50.6,49.4,1.2000000000000028
2018,West Virginia,WV,17.0,50.1,49.9,0.2000000000000028
2019,West Virginia,WV,22.0,50.1,49.9,0.2000000000000028
2020,West Virginia,WV,16.0,51.5,48.5,3.0
2021,West Virginia,WV,26.0,49.8,50.2,-0.4000000000000057
